date,workPeriod,competency,minimum,empiric,maximum,start,end
2025-10-04,MANAGEMENT_1400_1900,Management,1,1,1,,
2025-10-04,MANAGEMENT_1900_2100,Management,1,1,1,,
2025-10-05,CHECKOUT_1100_2100,Checkout,1,1,1,,
2025-10-05,MANAGEMENT_1100_1400,Management,1,1,1,,
2025-10-05,MANAGEMENT_1900_2100,Management,1,1,1,,
2025-10-06,STORAGE_0830_1530,Storage,1,1,1,,
2025-10-06,CHECKOUT_1000_1100,Checkout,1,1,1,,
2025-10-06,CHECKOUT_1100_2100,Checkout,1,1,1,,
2025-10-06,CHECKOUT_2100_2200,Checkout,1,1,1,,
2025-10-06,MANAGEMENT_1000_1100,Management,1,1,1,,
2025-10-06,MANAGEMENT_1100_1400,Management,1,1,1,,
2025-10-06,MANAGEMENT_1400_1900,Management,1,1,1,,
2025-10-06,MANAGEMENT_1900_2100,Management,1,1,1,,
2025-10-06,MANAGEMENT_2100_2200,Management,1,1,1,,
2025-10-07,STORAGE_0830_1530,Storage,1,1,1,,
2025-10-07,CHECKOUT_1000_1100,Checkout,1,1,1,,
2025-10-07,CHECKOUT_1100_2100,Checkout,1,1,1,,
2025-10-07,CHECKOUT_2100_2200,Checkout,1,1,1,,
2025-10-07,MANAGEMENT_1000_1100,Management,1,1,1,,
2025-10-07,MANAGEMENT_1100_1400,Management,1,1,1,,
2025-10-07,MANAGEMENT_1400_1900,Management,1,1,1,,
2025-10-07,MANAGEMENT_1900_2100,Management,1,1,1,,
2025-10-07,MANAGEMENT_2100_2200,Management,1,1,1,,
2025-10-08,STORAGE_0830_1530,Storage,1,1,1,,
2025-10-08,CHECKOUT_1000_1100,Checkout,1,1,1,,
2025-10-08,CHECKOUT_1100_2100,Checkout,1,1,1,,
2025-10-08,CHECKOUT_2100_2200,Checkout,1,1,1,,
2025-10-08,MANAGEMENT_1000_1100,Management,1,1,1,,
2025-10-08,MANAGEMENT_1100_1400,Management,1,1,1,,
2025-10-08,MANAGEMENT_1400_1900,Management,1,1,1,,
2025-10-08,MANAGEMENT_1900_2100,Management,1,1,1,,
2025-10-08,MANAGEMENT_2100_2200,Management,1,1,1,,
2025-10-09,STORAGE_0830_1530,Storage,1,1,1,,
2025-10-09,CHECKOUT_1000_1100,Checkout,1,1,1,,
2025-10-09,CHECKOUT_1100_2100,Checkout,1,1,1,,
2025-10-09,CHECKOUT_2100_2200,Checkout,1,1,1,,
2025-10-09,MANAGEMENT_1000_1100,Management,1,1,1,,
2025-10-09,MANAGEMENT_1100_1400,Management,1,1,1,,
2025-10-09,MANAGEMENT_1400_1900,Management,1,1,1,,
2025-10-09,MANAGEMENT_1900_2100,Management,1,1,1,,
2025-10-09,MANAGEMENT_2100_2200,Management,1,1,1,,
2025-10-10,STORAGE_0830_1530,Storage,1,1,1,,
2025-10-10,CHECKOUT_1000_1100,Checkout,1,1,1,,
2025-10-10,CHECKOUT_1100_2100,Checkout,1,1,1,,
2025-10-10,CHECKOUT_2100_2200,Checkout,1,1,1,,
2025-10-10,MANAGEMENT_1000_1100,Management,1,1,1,,
2025-10-10,MANAGEMENT_1100_1400,Management,1,1,1,,
2025-10-10,MANAGEMENT_1400_1900,Management,1,1,1,,
2025-10-10,MANAGEMENT_1900_2100,Management,1,1,1,,
2025-10-10,MANAGEMENT_2100_2200,Management,1,1,1,,
2025-10-11,CHECKOUT_1100_2100,Checkout,1,1,1,,
2025-10-11,MANAGEMENT_1100_1400,Management,1,1,1,,
2025-10-11,MANAGEMENT_1400_1900,Management,1,1,1,,
2025-10-11,MANAGEMENT_1900_2100,Management,1,1,1,,
2025-10-12,CHECKOUT_1100_2100,Checkout,1,1,1,,
2025-10-12,MANAGEMENT_1100_1400,Management,1,1,1,,
2025-10-12,MANAGEMENT_1900_2100,Management,1,1,1,,
2025-10-13,STORAGE_0830_1530,Storage,1,1,1,,
2025-10-13,CHECKOUT_1000_1100,Checkout,1,1,1,,
2025-10-13,CHECKOUT_1100_2100,Checkout,1,1,1,,
2025-10-13,CHECKOUT_2100_2200,Checkout,1,1,1,,
2025-10-13,MANAGEMENT_1000_1100,Management,1,1,1,,
2025-10-13,MANAGEMENT_1100_1400,Management,1,1,1,,
2025-10-13,MANAGEMENT_1400_1900,Management,1,1,1,,
2025-10-13,MANAGEMENT_1900_2100,Management,1,1,1,,
2025-10-13,MANAGEMENT_2100_2200,Management,1,1,1,,
2025-10-14,STORAGE_0830_1530,Storage,1,1,1,,
2025-10-14,CHECKOUT_1000_1100,Checkout,1,1,1,,
2025-10-14,CHECKOUT_1100_2100,Checkout,1,1,1,,
2025-10-14,CHECKOUT_2100_2200,Checkout,1,1,1,,
2025-10-14,MANAGEMENT_1000_1100,Management,1,1,1,,
2025-10-14,MANAGEMENT_1100_1400,Management,1,1,1,,
2025-10-14,MANAGEMENT_1400_1900,Management,1,1,1,,
2025-10-14,MANAGEMENT_1900_2100,Management,1,1,1,,
2025-10-14,MANAGEMENT_2100_2200,Management,1,1,1,,
2025-10-15,STORAGE_0830_1530,Storage,1,1,1,,
2025-10-15,CHECKOUT_1000_1100,Checkout,1,1,1,,
2025-10-15,CHECKOUT_1100_2100,Checkout,1,1,1,,
2025-10-15,CHECKOUT_2100_2200,Checkout,1,1,1,,
2025-10-15,MANAGEMENT_1000_1100,Management,1,1,1,,
2025-10-15,MANAGEMENT_1100_1400,Management,1,1,1,,
2025-10-15,MANAGEMENT_1400_1900,Management,1,1,1,,
2025-10-15,MANAGEMENT_1900_2100,Management,1,1,1,,
2025-10-15,MANAGEMENT_2100_2200,Management,1,1,1,,
2025-10-16,STORAGE_0830_1530,Storage,1,1,1,,
2025-10-16,CHECKOUT_1000_1100,Checkout,1,1,1,,
2025-10-16,CHECKOUT_1100_2100,Checkout,1,1,1,,
2025-10-16,CHECKOUT_2100_2200,Checkout,1,1,1,,
2025-10-16,MANAGEMENT_1000_1100,Management,1,1,1,,
2025-10-16,MANAGEMENT_1100_1400,Management,1,1,1,,
2025-10-16,MANAGEMENT_1400_1900,Management,1,1,1,,
2025-10-16,MANAGEMENT_1900_2100,Management,1,1,1,,
2025-10-16,MANAGEMENT_2100_2200,Management,1,1,1,,
2025-10-17,STORAGE_0830_1530,Storage,1,1,1,,
2025-10-17,CHECKOUT_1000_1100,Checkout,1,1,1,,
2025-10-17,CHECKOUT_1100_2100,Checkout,1,1,1,,
2025-10-17,CHECKOUT_2100_2200,Checkout,1,1,1,,
2025-10-17,MANAGEMENT_1000_1100,Management,1,1,1,,
2025-10-17,MANAGEMENT_1100_1400,Management,1,1,1,,
2025-10-17,MANAGEMENT_1400_1900,Management,1,1,1,,
2025-10-17,MANAGEMENT_1900_2100,Management,1,1,1,,
2025-10-17,MANAGEMENT_2100_2200,Management,1,1,1,,
2025-10-18,CHECKOUT_1100_2100,Checkout,1,1,1,,
2025-10-18,MANAGEMENT_1100_1400,Management,1,1,1,,
2025-10-18,MANAGEMENT_1400_1900,Management,1,1,1,,
2025-10-18,MANAGEMENT_1900_2100,Management,1,1,1,,
2025-10-19,CHECKOUT_1100_2100,Checkout,1,1,1,,
2025-10-19,MANAGEMENT_1100_1400,Management,1,1,1,,
2025-10-19,MANAGEMENT_1900_2100,Management,1,1,1,,
2025-10-20,STORAGE_0830_1530,Storage,1,1,1,,
2025-10-20,CHECKOUT_1000_1100,Checkout,1,1,1,,
2025-10-20,CHECKOUT_1100_2100,Checkout,1,1,1,,
2025-10-20,CHECKOUT_2100_2200,Checkout,1,1,1,,
2025-10-20,MANAGEMENT_1000_1100,Management,1,1,1,,
2025-10-20,MANAGEMENT_1100_1400,Management,1,1,1,,
2025-10-20,MANAGEMENT_1400_1900,Management,1,1,1,,
2025-10-20,MANAGEMENT_1900_2100,Management,1,1,1,,
2025-10-20,MANAGEMENT_2100_2200,Management,1,1,1,,
2025-10-21,STORAGE_0830_1530,Storage,1,1,1,,
2025-10-21,CHECKOUT_1000_1100,Checkout,1,1,1,,
2025-10-21,CHECKOUT_1100_2100,Checkout,1,1,1,,
2025-10-21,CHECKOUT_2100_2200,Checkout,1,1,1,,
2025-10-21,MANAGEMENT_1000_1100,Management,1,1,1,,
2025-10-21,MANAGEMENT_1100_1400,Management,1,1,1,,
2025-10-21,MANAGEMENT_1400_1900,Management,1,1,1,,
2025-10-21,MANAGEMENT_1900_2100,Management,1,1,1,,
2025-10-21,MANAGEMENT_2100_2200,Management,1,1,1,,
2025-10-22,STORAGE_0830_1530,Storage,1,1,1,,
2025-10-22,CHECKOUT_1000_1100,Checkout,1,1,1,,
2025-10-22,CHECKOUT_1100_2100,Checkout,1,1,1,,
2025-10-22,CHECKOUT_2100_2200,Checkout,1,1,1,,
2025-10-22,MANAGEMENT_1000_1100,Management,1,1,1,,
2025-10-22,MANAGEMENT_1100_1400,Management,1,1,1,,
2025-10-22,MANAGEMENT_1400_1900,Management,1,1,1,,
2025-10-22,MANAGEMENT_1900_2100,Management,1,1,1,,
2025-10-22,MANAGEMENT_2100_2200,Management,1,1,1,,
2025-10-23,STORAGE_0830_1530,Storage,1,1,1,,
2025-10-23,CHECKOUT_1000_1100,Checkout,1,1,1,,
2025-10-23,CHECKOUT_1100_2100,Checkout,1,1,1,,
2025-10-23,CHECKOUT_2100_2200,Checkout,1,1,1,,
2025-10-23,MANAGEMENT_1000_1100,Management,1,1,1,,
2025-10-23,MANAGEMENT_1100_1400,Management,1,1,1,,
2025-10-23,MANAGEMENT_1400_1900,Management,1,1,1,,
2025-10-23,MANAGEMENT_1900_2100,Management,1,1,1,,
2025-10-23,MANAGEMENT_2100_2200,Management,1,1,1,,
2025-10-24,STORAGE_0830_1530,Storage,1,1,1,,
2025-10-24,CHECKOUT_1000_1100,Checkout,1,1,1,,
2025-10-24,CHECKOUT_1100_2100,Checkout,1,1,1,,
2025-10-24,CHECKOUT_2100_2200,Checkout,1,1,1,,
2025-10-24,MANAGEMENT_1000_1100,Management,1,1,1,,
2025-10-24,MANAGEMENT_1100_1400,Management,1,1,1,,
2025-10-24,MANAGEMENT_1400_1900,Management,1,1,1,,
2025-10-24,MANAGEMENT_1900_2100,Management,1,1,1,,
2025-10-24,MANAGEMENT_2100_2200,Management,1,1,1,,
2025-10-25,CHECKOUT_1100_2100,Checkout,1,1,1,,
2025-10-25,MANAGEMENT_1100_1400,Management,1,1,1,,
2025-10-25,MANAGEMENT_1400_1900,Management,1,1,1,,
2025-10-25,MANAGEMENT_1900_2100,Management,1,1,1,,
2025-10-26,CHECKOUT_1100_2100,Checkout,1,1,1,,
2025-10-26,MANAGEMENT_1100_1400,Management,1,1,1,,
2025-10-26,MANAGEMENT_1900_2100,Management,1,1,1,,
2025-10-27,STORAGE_0830_1530,Storage,1,1,1,,
2025-10-27,CHECKOUT_1000_1100,Checkout,1,1,1,,
2025-10-27,CHECKOUT_1100_2100,Checkout,1,1,1,,
2025-10-27,CHECKOUT_2100_2200,Checkout,1,1,1,,
2025-10-27,MANAGEMENT_1000_1100,Management,1,1,1,,
2025-10-27,MANAGEMENT_1100_1400,Management,1,1,1,,
2025-10-27,MANAGEMENT_1400_1900,Management,1,1,1,,
2025-10-27,MANAGEMENT_1900_2100,Management,1,1,1,,
2025-10-27,MANAGEMENT_2100_2200,Management,1,1,1,,
2025-10-28,STORAGE_0830_1530,Storage,1,1,1,,
2025-10-28,CHECKOUT_1000_1100,Checkout,1,1,1,,
2025-10-28,CHECKOUT_1100_2100,Checkout,1,1,1,,
2025-10-28,CHECKOUT_2100_2200,Checkout,1,1,1,,
2025-10-28,MANAGEMENT_1000_1100,Management,1,1,1,,
2025-10-28,MANAGEMENT_1100_1400,Management,1,1,1,,
2025-10-28,MANAGEMENT_1400_1900,Management,1,1,1,,
2025-10-28,MANAGEMENT_1900_2100,Management,1,1,1,,
2025-10-28,MANAGEMENT_2100_2200,Management,1,1,1,,
2025-10-29,STORAGE_0830_1530,Storage,1,1,1,,
2025-10-29,CHECKOUT_1000_1100,Checkout,1,1,1,,
2025-10-29,CHECKOUT_1100_2100,Checkout,1,1,1,,
2025-10-29,CHECKOUT_2100_2200,Checkout,1,1,1,,
2025-10-29,MANAGEMENT_1000_1100,Management,1,1,1,,
2025-10-29,MANAGEMENT_1100_1400,Management,1,1,1,,
2025-10-29,MANAGEMENT_1400_1900,Management,1,1,1,,
2025-10-29,MANAGEMENT_1900_2100,Management,1,1,1,,
2025-10-29,MANAGEMENT_2100_2200,Management,1,1,1,,
2025-10-30,STORAGE_0830_1530,Storage,1,1,1,,
2025-10-30,CHECKOUT_1000_1100,Checkout,1,1,1,,
2025-10-30,CHECKOUT_1100_2100,Checkout,1,1,1,,
2025-10-30,CHECKOUT_2100_2200,Checkout,1,1,1,,
2025-10-30,MANAGEMENT_1000_1100,Management,1,1,1,,
2025-10-30,MANAGEMENT_1100_1400,Management,1,1,1,,
2025-10-30,MANAGEMENT_1400_1900,Management,1,1,1,,
2025-10-30,MANAGEMENT_1900_2100,Management,1,1,1,,
2025-10-30,MANAGEMENT_2100_2200,Management,1,1,1,,
2025-10-31,STORAGE_0830_1530,Storage,1,1,1,,
2025-10-31,CHECKOUT_1000_1100,Checkout,1,1,1,,
2025-10-31,CHECKOUT_1100_2100,Checkout,1,1,1,,
2025-10-31,CHECKOUT_2100_2200,Checkout,1,1,1,,
2025-10-31,MANAGEMENT_1000_1100,Management,1,1,1,,
2025-10-31,MANAGEMENT_1100_1400,Management,1,1,1,,
2025-10-31,MANAGEMENT_1400_1900,Management,1,1,1,,
2025-10-31,MANAGEMENT_1900_2100,Management,1,1,1,,
2025-10-31,MANAGEMENT_2100_2200,Management,1,1,1,,
