Code,ScheduleWeightMinutes,Description
100242,405,00:00-07:30 (03:45-04:30)
100243,405,00:00-07:30 (04:00-04:45)
100244,405,00:00-07:30 (04:15-05:00)
100245,405,00:00-07:30 (04:30-05:15)
100246,405,00:00-07:30 (04:45-05:30)
100247,405,00:00-07:45 (02:00-03:00)
100248,405,00:00-07:45 (02:15-03:15)
100249,405,00:00-07:45 (02:30-03:30)
100250,405,00:00-07:45 (02:45-03:45)
100251,405,00:00-07:45 (03:00-04:00)
100252,405,00:00-07:45 (03:15-04:15)
100253,405,00:00-07:45 (03:30-04:30)
100254,405,00:00-07:45 (03:45-04:45)
100255,405,00:00-07:45 (04:00-05:00)
100256,405,00:00-07:45 (04:15-05:15)
100257,405,00:00-07:45 (04:30-05:30)
100258,405,00:00-07:45 (04:45-05:45)
100259,405,00:00-08:00 (02:00-03:15)
100260,405,00:00-08:00 (02:15-03:30)
100261,405,00:00-08:00 (02:30-03:45)
100262,405,00:00-08:00 (02:45-04:00)
100263,405,00:00-08:00 (03:00-04:15)
100264,405,00:00-08:00 (03:15-04:30)
100265,405,00:00-08:00 (03:30-04:45)
100266,405,00:00-08:00 (03:45-05:00)
100267,405,00:00-08:00 (04:00-05:15)
100268,405,00:00-08:00 (04:15-05:30)
100269,405,00:00-08:00 (04:30-05:45)
100270,405,00:00-08:00 (04:45-06:00)
100271,405,00:00-08:15 (02:00-03:30)
100272,405,00:00-08:15 (02:15-03:45)
100273,405,00:00-08:15 (02:30-04:00)
100274,405,00:00-08:15 (02:45-04:15)
100275,405,00:00-08:15 (03:00-04:30)
100276,405,00:00-08:15 (03:15-04:45)
100277,405,00:00-08:15 (03:30-05:00)
100278,405,00:00-08:15 (03:45-05:15)
100279,405,00:00-08:15 (04:00-05:30)
100280,405,00:00-08:15 (04:15-05:45)
100281,405,00:00-08:15 (04:30-06:00)
100282,405,00:00-08:15 (04:45-06:15)
100283,405,00:00-08:30 (02:00-03:45)
100284,405,00:00-08:30 (02:15-04:00)
100285,405,00:00-08:30 (02:30-04:15)
100286,405,00:00-08:30 (02:45-04:30)
100287,405,00:00-08:30 (03:00-04:45)
100288,405,00:00-08:30 (03:15-05:00)
100289,405,00:00-08:30 (03:30-05:15)
100290,405,00:00-08:30 (03:45-05:30)
100291,405,00:00-08:30 (04:00-05:45)
100292,405,00:00-08:30 (04:15-06:00)
100293,405,00:00-08:30 (04:30-06:15)
100294,405,00:00-08:30 (04:45-06:30)
100295,405,00:00-08:45 (02:00-04:00)
100296,405,00:00-08:45 (02:15-04:15)
100297,405,00:00-08:45 (02:30-04:30)
100298,405,00:00-08:45 (02:45-04:45)
100299,405,00:00-08:45 (03:00-05:00)
100300,405,00:00-08:45 (03:15-05:15)
100301,405,00:00-08:45 (03:30-05:30)
100302,405,00:00-08:45 (03:45-05:45)
100303,405,00:00-08:45 (04:00-06:00)
100304,405,00:00-08:45 (04:15-06:15)
100305,405,00:00-08:45 (04:30-06:30)
100306,405,00:00-08:45 (04:45-06:45)
100307,420,00:00-07:30 (02:00-02:30)
100308,420,00:00-07:30 (02:15-02:45)
100309,420,00:00-07:30 (02:30-03:00)
100310,420,00:00-07:30 (02:45-03:15)
100311,420,00:00-07:30 (03:00-03:30)
100312,420,00:00-07:30 (03:15-03:45)
100313,420,00:00-07:30 (03:30-04:00)
100314,420,00:00-07:30 (03:45-04:15)
100315,420,00:00-07:30 (04:00-04:30)
100316,420,00:00-07:30 (04:15-04:45)
100317,420,00:00-07:30 (04:30-05:00)
100318,420,00:00-07:30 (04:45-05:15)
100319,420,00:00-07:30 (05:00-05:30)
100320,420,00:00-07:45 (02:00-02:45)
100321,420,00:00-07:45 (02:15-03:00)
100322,420,00:00-07:45 (02:30-03:15)
100323,420,00:00-07:45 (02:45-03:30)
100324,420,00:00-07:45 (03:00-03:45)
100325,420,00:00-07:45 (03:15-04:00)
100326,420,00:00-07:45 (03:30-04:15)
100327,420,00:00-07:45 (03:45-04:30)
100328,420,00:00-07:45 (04:00-04:45)
100329,420,00:00-07:45 (04:15-05:00)
100330,420,00:00-07:45 (04:30-05:15)
100331,420,00:00-07:45 (04:45-05:30)
100332,420,00:00-07:45 (05:00-05:45)
100333,420,00:00-08:00 (02:00-03:00)
100334,420,00:00-08:00 (02:15-03:15)
100335,420,00:00-08:00 (02:30-03:30)
100336,420,00:00-08:00 (02:45-03:45)
100337,420,00:00-08:00 (03:00-04:00)
100338,420,00:00-08:00 (03:15-04:15)
100339,420,00:00-08:00 (03:30-04:30)
100340,420,00:00-08:00 (03:45-04:45)
100341,420,00:00-08:00 (04:00-05:00)
100342,420,00:00-08:00 (04:15-05:15)
100343,420,00:00-08:00 (04:30-05:30)
100344,420,00:00-08:00 (04:45-05:45)
100345,420,00:00-08:00 (05:00-06:00)
100346,420,00:00-08:15 (02:00-03:15)
100347,420,00:00-08:15 (02:15-03:30)
100348,420,00:00-08:15 (02:30-03:45)
100349,420,00:00-08:15 (02:45-04:00)
100350,420,00:00-08:15 (03:00-04:15)
100351,420,00:00-08:15 (03:15-04:30)
100352,420,00:00-08:15 (03:30-04:45)
100353,420,00:00-08:15 (03:45-05:00)
100354,420,00:00-08:15 (04:00-05:15)
100355,420,00:00-08:15 (04:15-05:30)
100356,420,00:00-08:15 (04:30-05:45)
100357,420,00:00-08:15 (04:45-06:00)
100358,420,00:00-08:15 (05:00-06:15)
100359,420,00:00-08:30 (02:00-03:30)
100360,420,00:00-08:30 (02:15-03:45)
100361,420,00:00-08:30 (02:30-04:00)
100362,420,00:00-08:30 (02:45-04:15)
100363,420,00:00-08:30 (03:00-04:30)
100364,420,00:00-08:30 (03:15-04:45)
100365,420,00:00-08:30 (03:30-05:00)
100366,420,00:00-08:30 (03:45-05:15)
100367,420,00:00-08:30 (04:00-05:30)
100368,420,00:00-08:30 (04:15-05:45)
100369,420,00:00-08:30 (04:30-06:00)
100370,420,00:00-08:30 (04:45-06:15)
100371,420,00:00-08:30 (05:00-06:30)
100372,420,00:00-08:45 (02:00-03:45)
100373,420,00:00-08:45 (02:15-04:00)
100374,420,00:00-08:45 (02:30-04:15)
100375,420,00:00-08:45 (02:45-04:30)
100376,420,00:00-08:45 (03:00-04:45)
100377,420,00:00-08:45 (03:15-05:00)
100378,420,00:00-08:45 (03:30-05:15)
100379,420,00:00-08:45 (03:45-05:30)
100380,420,00:00-08:45 (04:00-05:45)
100381,420,00:00-08:45 (04:15-06:00)
100382,420,00:00-08:45 (04:30-06:15)
100383,420,00:00-08:45 (04:45-06:30)
100384,420,00:00-08:45 (05:00-06:45)
100385,420,00:00-09:00 (02:00-04:00)
100386,420,00:00-09:00 (02:15-04:15)
100387,420,00:00-09:00 (02:30-04:30)
100388,420,00:00-09:00 (02:45-04:45)
100389,420,00:00-09:00 (03:00-05:00)
100390,420,00:00-09:00 (03:15-05:15)
100391,420,00:00-09:00 (03:30-05:30)
100392,420,00:00-09:00 (03:45-05:45)
100393,420,00:00-09:00 (04:00-06:00)
100394,420,00:00-09:00 (04:15-06:15)
100395,420,00:00-09:00 (04:30-06:30)
100396,420,00:00-09:00 (04:45-06:45)
100397,420,00:00-09:00 (05:00-07:00)
100398,435,00:00-07:45 (02:15-02:45)
100399,435,00:00-07:45 (02:30-03:00)
100400,435,00:00-07:45 (02:45-03:15)
100401,435,00:00-07:45 (03:00-03:30)
100402,435,00:00-07:45 (03:15-03:45)
100403,435,00:00-07:45 (03:30-04:00)
100404,435,00:00-07:45 (03:45-04:15)
100405,435,00:00-07:45 (04:00-04:30)
100406,435,00:00-07:45 (04:15-04:45)
100407,435,00:00-07:45 (04:30-05:00)
100408,435,00:00-07:45 (04:45-05:15)
100409,435,00:00-07:45 (05:00-05:30)
100410,435,00:00-08:00 (02:15-03:00)
100411,435,00:00-08:00 (02:30-03:15)
100412,435,00:00-08:00 (02:45-03:30)
100413,435,00:00-08:00 (03:00-03:45)
100414,435,00:00-08:00 (03:15-04:00)
100415,435,00:00-08:00 (03:30-04:15)
100416,435,00:00-08:00 (03:45-04:30)
100417,435,00:00-08:00 (04:00-04:45)
100418,435,00:00-08:00 (04:15-05:00)
100419,435,00:00-08:00 (04:30-05:15)
100420,435,00:00-08:00 (04:45-05:30)
100421,435,00:00-08:00 (05:00-05:45)
100422,435,00:00-08:15 (02:15-03:15)
100423,435,00:00-08:15 (02:30-03:30)
100424,435,00:00-08:15 (02:45-03:45)
100425,435,00:00-08:15 (03:00-04:00)
100426,435,00:00-08:15 (03:15-04:15)
100427,435,00:00-08:15 (03:30-04:30)
100428,435,00:00-08:15 (03:45-04:45)
100429,435,00:00-08:15 (04:00-05:00)
100430,435,00:00-08:15 (04:15-05:15)
100431,435,00:00-08:15 (04:30-05:30)
100432,435,00:00-08:15 (04:45-05:45)
100433,435,00:00-08:15 (05:00-06:00)
100434,435,00:00-08:30 (02:15-03:30)
100435,435,00:00-08:30 (02:30-03:45)
100436,435,00:00-08:30 (02:45-04:00)
100437,435,00:00-08:30 (03:00-04:15)
100438,435,00:00-08:30 (03:15-04:30)
100439,435,00:00-08:30 (03:30-04:45)
100440,435,00:00-08:30 (03:45-05:00)
100441,435,00:00-08:30 (04:00-05:15)
100442,435,00:00-08:30 (04:15-05:30)
100443,435,00:00-08:30 (04:30-05:45)
100444,435,00:00-08:30 (04:45-06:00)
100445,435,00:00-08:30 (05:00-06:15)
100446,435,00:00-08:45 (02:15-03:45)
100447,435,00:00-08:45 (02:30-04:00)
100448,435,00:00-08:45 (02:45-04:15)
100449,435,00:00-08:45 (03:00-04:30)
100450,435,00:00-08:45 (03:15-04:45)
100451,435,00:00-08:45 (03:30-05:00)
100452,435,00:00-08:45 (03:45-05:15)
100453,435,00:00-08:45 (04:00-05:30)
100454,435,00:00-08:45 (04:15-05:45)
100455,435,00:00-08:45 (04:30-06:00)
100456,435,00:00-08:45 (04:45-06:15)
100457,435,00:00-08:45 (05:00-06:30)
100458,435,00:00-09:00 (02:15-04:00)
100459,435,00:00-09:00 (02:30-04:15)
100460,435,00:00-09:00 (02:45-04:30)
100461,435,00:00-09:00 (03:00-04:45)
100462,435,00:00-09:00 (03:15-05:00)
100463,435,00:00-09:00 (03:30-05:15)
100464,435,00:00-09:00 (03:45-05:30)
100465,435,00:00-09:00 (04:00-05:45)
100466,435,00:00-09:00 (04:15-06:00)
100467,435,00:00-09:00 (04:30-06:15)
100468,435,00:00-09:00 (04:45-06:30)
100469,435,00:00-09:00 (05:00-06:45)
100470,435,00:00-09:15 (02:15-04:15)
100471,435,00:00-09:15 (02:30-04:30)
100472,435,00:00-09:15 (02:45-04:45)
100473,435,00:00-09:15 (03:00-05:00)
100474,435,00:00-09:15 (03:15-05:15)
100475,435,00:00-09:15 (03:30-05:30)
100476,435,00:00-09:15 (03:45-05:45)
100477,435,00:00-09:15 (04:00-06:00)
100478,435,00:00-09:15 (04:15-06:15)
100479,435,00:00-09:15 (04:30-06:30)
100480,435,00:00-09:15 (04:45-06:45)
100481,435,00:00-09:15 (05:00-07:00)
100482,450,00:00-08:00 (02:30-03:00)
100483,450,00:00-08:00 (02:45-03:15)
100484,450,00:00-08:00 (03:00-03:30)
100485,450,00:00-08:00 (03:15-03:45)
100486,450,00:00-08:00 (03:30-04:00)
100487,450,00:00-08:00 (03:45-04:15)
100488,450,00:00-08:00 (04:00-04:30)
100489,450,00:00-08:00 (04:15-04:45)
100490,450,00:00-08:00 (04:30-05:00)
100491,450,00:00-08:00 (04:45-05:15)
100492,450,00:00-08:00 (05:00-05:30)
100493,450,00:00-08:15 (02:30-03:15)
100494,450,00:00-08:15 (02:45-03:30)
100495,450,00:00-08:15 (03:00-03:45)
100496,450,00:00-08:15 (03:15-04:00)
100497,450,00:00-08:15 (03:30-04:15)
100498,450,00:00-08:15 (03:45-04:30)
100499,450,00:00-08:15 (04:00-04:45)
100500,450,00:00-08:15 (04:15-05:00)
100501,450,00:00-08:15 (04:30-05:15)
100502,450,00:00-08:15 (04:45-05:30)
100503,450,00:00-08:15 (05:00-05:45)
100504,450,00:00-08:30 (02:30-03:30)
100505,450,00:00-08:30 (02:45-03:45)
100506,450,00:00-08:30 (03:00-04:00)
100507,450,00:00-08:30 (03:15-04:15)
100508,450,00:00-08:30 (03:30-04:30)
100509,450,00:00-08:30 (03:45-04:45)
100510,450,00:00-08:30 (04:00-05:00)
100511,450,00:00-08:30 (04:15-05:15)
100512,450,00:00-08:30 (04:30-05:30)
100513,450,00:00-08:30 (04:45-05:45)
100514,450,00:00-08:30 (05:00-06:00)
100515,450,00:00-08:45 (02:30-03:45)
100516,450,00:00-08:45 (02:45-04:00)
100517,450,00:00-08:45 (03:00-04:15)
100518,450,00:00-08:45 (03:15-04:30)
100519,450,00:00-08:45 (03:30-04:45)
100520,450,00:00-08:45 (03:45-05:00)
100521,450,00:00-08:45 (04:00-05:15)
100522,450,00:00-08:45 (04:15-05:30)
100523,450,00:00-08:45 (04:30-05:45)
100524,450,00:00-08:45 (04:45-06:00)
100525,450,00:00-08:45 (05:00-06:15)
100526,450,00:00-09:00 (02:30-04:00)
100527,450,00:00-09:00 (02:45-04:15)
100528,450,00:00-09:00 (03:00-04:30)
100529,450,00:00-09:00 (03:15-04:45)
100530,450,00:00-09:00 (03:30-05:00)
100531,450,00:00-09:00 (03:45-05:15)
100532,450,00:00-09:00 (04:00-05:30)
100533,450,00:00-09:00 (04:15-05:45)
100534,450,00:00-09:00 (04:30-06:00)
100535,450,00:00-09:00 (04:45-06:15)
100536,450,00:00-09:00 (05:00-06:30)
100537,450,00:00-09:15 (02:30-04:15)
100538,450,00:00-09:15 (02:45-04:30)
100539,450,00:00-09:15 (03:00-04:45)
100540,450,00:00-09:15 (03:15-05:00)
100541,450,00:00-09:15 (03:30-05:15)
100542,450,00:00-09:15 (03:45-05:30)
100543,450,00:00-09:15 (04:00-05:45)
100544,450,00:00-09:15 (04:15-06:00)
100545,450,00:00-09:15 (04:30-06:15)
100546,450,00:00-09:15 (04:45-06:30)
100547,450,00:00-09:15 (05:00-06:45)
100548,450,00:00-09:30 (02:30-04:30)
100549,450,00:00-09:30 (02:45-04:45)
100550,450,00:00-09:30 (03:00-05:00)
100551,450,00:00-09:30 (03:15-05:15)
100552,450,00:00-09:30 (03:30-05:30)
100553,450,00:00-09:30 (03:45-05:45)
100554,450,00:00-09:30 (04:00-06:00)
100555,450,00:00-09:30 (04:15-06:15)
100556,450,00:00-09:30 (04:30-06:30)
100557,450,00:00-09:30 (04:45-06:45)
100558,450,00:00-09:30 (05:00-07:00)
100559,465,00:00-08:15 (02:45-03:15)
100560,465,00:00-08:15 (03:00-03:30)
100561,465,00:00-08:15 (03:15-03:45)
100562,465,00:00-08:15 (03:30-04:00)
100563,465,00:00-08:15 (03:45-04:15)
100564,465,00:00-08:15 (04:00-04:30)
100565,465,00:00-08:15 (04:15-04:45)
100566,465,00:00-08:15 (04:30-05:00)
100567,465,00:00-08:15 (04:45-05:15)
100568,465,00:00-08:15 (05:00-05:30)
100569,465,00:00-08:30 (02:45-03:30)
100570,465,00:00-08:30 (03:00-03:45)
100571,465,00:00-08:30 (03:15-04:00)
100572,465,00:00-08:30 (03:30-04:15)
100573,465,00:00-08:30 (03:45-04:30)
100574,465,00:00-08:30 (04:00-04:45)
100575,465,00:00-08:30 (04:15-05:00)
100576,465,00:00-08:30 (04:30-05:15)
100577,465,00:00-08:30 (04:45-05:30)
100578,465,00:00-08:30 (05:00-05:45)
100579,465,00:00-08:45 (02:45-03:45)
100580,465,00:00-08:45 (03:00-04:00)
100581,465,00:00-08:45 (03:15-04:15)
100582,465,00:00-08:45 (03:30-04:30)
100583,465,00:00-08:45 (03:45-04:45)
100584,465,00:00-08:45 (04:00-05:00)
100585,465,00:00-08:45 (04:15-05:15)
100586,465,00:00-08:45 (04:30-05:30)
100587,465,00:00-08:45 (04:45-05:45)
