date,tableName,tableValue,minimum,ideal,estimated,start,end
2026-01-09,Team,T1,2,0,0,14:00,15:00
2026-01-09,Team,T1,2,0,0,15:00,17:00
2026-01-09,Team,T1,3,0,0,17:00,18:00
2026-01-09,Team,T1,3,0,0,18:00,20:00
2026-01-09,Team,T1,3,0,0,20:00,21:00
2026-01-09,Team,T1,2,0,0,21:00,22:00
2026-01-09,Responsibility,A,1,0,0,08:30,15:30
2026-01-09,Responsibility,C,1,0,0,10:00,22:00
2026-01-09,Responsibility,G,1,0,0,10:00,22:00
2026-01-10,Team,T1,2,0,0,11:00,12:00
2026-01-10,Team,T1,2,0,0,12:00,13:00
2026-01-10,Team,T1,2,0,0,13:00,14:00
2026-01-10,Team,T1,2,0,0,14:00,15:00
2026-01-10,Team,T1,2,0,0,15:00,16:00
2026-01-10,Team,T1,2,0,0,16:00,17:00
2026-01-10,Team,T1,2,0,0,17:00,18:00
2026-01-10,Team,T1,2,0,0,18:00,20:00
2026-01-10,Team,T1,2,0,0,20:00,21:00
2026-01-10,Responsibility,C,1,0,0,11:00,21:00
2026-01-10,Responsibility,G,1,0,0,11:00,21:00
2026-01-11,Team,T1,2,0,0,10:00,11:00
2026-01-11,Team,T1,3,0,0,11:00,14:00
2026-01-11,Team,T1,2,0,0,14:00,17:00
2026-01-11,Team,T1,3,0,0,17:00,21:00
2026-01-11,Team,T1,2,0,0,21:00,22:00
2026-01-11,Responsibility,C,1,0,0,11:00,21:00
2026-01-11,Responsibility,G,1,0,0,11:00,14:00
2026-01-11,Responsibility,G,1,0,0,19:00,21:00
2026-01-12,Team,T1,2,0,0,10:00,11:00
2026-01-12,Team,T1,3,0,0,11:00,14:00
2026-01-12,Team,T1,2,0,0,14:00,17:00
2026-01-12,Team,T1,3,0,0,17:00,18:00
2026-01-12,Team,T1,3,0,0,18:00,19:30
2026-01-12,Team,T1,3,0,0,19:30,21:00
2026-01-12,Team,T1,2,0,0,21:00,22:00
2026-01-12,Responsibility,A,1,0,0,08:30,15:30
2026-01-12,Responsibility,C,1,0,0,10:00,22:00
2026-01-12,Responsibility,G,1,0,0,10:00,22:00
2026-01-13,Team,T1,2,0,0,10:00,11:00
2026-01-13,Team,T1,3,0,0,11:00,14:00
2026-01-13,Team,T1,2,0,0,14:00,17:00
2026-01-13,Team,T1,3,0,0,17:00,20:00
2026-01-13,Team,T1,3,0,0,20:00,21:00
2026-01-13,Team,T1,2,0,0,21:00,22:00
2026-01-13,Responsibility,A,1,0,0,08:30,15:30
2026-01-13,Responsibility,C,1,0,0,10:00,22:00
2026-01-13,Responsibility,G,1,0,0,10:00,22:00
2026-01-14,Team,T1,2,0,0,10:00,11:00
2026-01-14,Team,T1,3,0,0,11:00,14:00
2026-01-14,Team,T1,2,0,0,14:00,17:00
2026-01-14,Team,T1,3,0,0,17:00,18:30
2026-01-14,Team,T1,3,0,0,18:30,20:00
2026-01-14,Team,T1,3,0,0,20:00,21:00
2026-01-14,Team,T1,2,0,0,21:00,22:00
2026-01-14,Responsibility,A,1,0,0,08:30,15:30
2026-01-14,Responsibility,C,1,0,0,10:00,22:00
2026-01-14,Responsibility,G,1,0,0,10:00,22:00
2026-01-15,Team,T1,2,0,0,10:00,11:00
2026-01-15,Team,T1,3,0,0,11:00,13:00
2026-01-15,Team,T1,3,0,0,13:00,14:00
2026-01-15,Team,T1,2,0,0,14:00,17:00
2026-01-15,Team,T1,3,0,0,17:00,20:00
2026-01-15,Team,T1,3,0,0,20:00,21:00
2026-01-15,Team,T1,2,0,0,21:00,22:00
2026-01-15,Responsibility,A,1,0,0,08:30,15:30
2026-01-15,Responsibility,C,1,0,0,10:00,22:00
2026-01-15,Responsibility,G,1,0,0,10:00,22:00
2026-01-16,Team,T1,2,0,0,10:00,11:00
2026-01-16,Team,T1,3,0,0,11:00,13:00
2026-01-16,Team,T1,3,0,0,13:00,14:00
2026-01-16,Team,T1,2,0,0,14:00,15:00
2026-01-16,Team,T1,2,0,0,15:00,17:00
2026-01-16,Team,T1,3,0,0,17:00,18:00
2026-01-16,Team,T1,3,0,0,18:00,20:00
2026-01-16,Team,T1,3,0,0,20:00,21:00
2026-01-16,Team,T1,2,0,0,21:00,22:00
2026-01-16,Responsibility,A,1,0,0,08:30,15:30
2026-01-16,Responsibility,C,1,0,0,10:00,22:00
2026-01-16,Responsibility,G,1,0,0,10:00,22:00
2026-01-17,Team,T1,2,0,0,11:00,12:00
2026-01-17,Team,T1,2,0,0,12:00,13:00
2026-01-17,Team,T1,2,0,0,13:00,14:00
2026-01-17,Team,T1,2,0,0,14:00,15:00
2026-01-17,Team,T1,2,0,0,15:00,16:00
2026-01-17,Team,T1,2,0,0,16:00,17:00
2026-01-17,Team,T1,2,0,0,17:00,18:00
2026-01-17,Team,T1,2,0,0,18:00,20:00
2026-01-17,Team,T1,2,0,0,20:00,21:00
2026-01-17,Responsibility,C,1,0,0,11:00,21:00
2026-01-17,Responsibility,G,1,0,0,11:00,21:00
2026-01-18,Team,T1,2,0,0,10:00,11:00
2026-01-18,Team,T1,3,0,0,11:00,14:00
2026-01-18,Team,T1,2,0,0,14:00,17:00
2026-01-18,Team,T1,3,0,0,17:00,21:00
2026-01-18,Team,T1,2,0,0,21:00,22:00
2026-01-18,Responsibility,C,1,0,0,11:00,21:00
2026-01-18,Responsibility,G,1,0,0,11:00,14:00
2026-01-18,Responsibility,G,1,0,0,19:00,21:00
2026-01-19,Team,T1,2,0,0,10:00,11:00
2026-01-19,Team,T1,3,0,0,11:00,14:00
2026-01-19,Team,T1,2,0,0,14:00,17:00
2026-01-19,Team,T1,3,0,0,17:00,18:00
2026-01-19,Team,T1,3,0,0,18:00,19:30
2026-01-19,Team,T1,3,0,0,19:30,21:00
2026-01-19,Team,T1,2,0,0,21:00,22:00
2026-01-19,Responsibility,A,1,0,0,08:30,15:30
2026-01-19,Responsibility,C,1,0,0,10:00,22:00
2026-01-19,Responsibility,G,1,0,0,10:00,22:00
2026-01-20,Team,T1,2,0,0,10:00,11:00
2026-01-20,Team,T1,3,0,0,11:00,14:00
2026-01-20,Team,T1,2,0,0,14:00,17:00
2026-01-20,Team,T1,3,0,0,17:00,20:00
2026-01-20,Team,T1,3,0,0,20:00,21:00
2026-01-20,Team,T1,2,0,0,21:00,22:00
2026-01-20,Responsibility,A,1,0,0,08:30,15:30
2026-01-20,Responsibility,C,1,0,0,10:00,22:00
2026-01-20,Responsibility,G,1,0,0,10:00,22:00
2026-01-21,Team,T1,2,0,0,10:00,11:00
2026-01-21,Team,T1,3,0,0,11:00,14:00
2026-01-21,Team,T1,2,0,0,14:00,17:00
2026-01-21,Team,T1,3,0,0,17:00,18:30
2026-01-21,Team,T1,3,0,0,18:30,20:00
2026-01-21,Team,T1,3,0,0,20:00,21:00
2026-01-21,Team,T1,2,0,0,21:00,22:00
2026-01-21,Responsibility,A,1,0,0,08:30,15:30
2026-01-21,Responsibility,C,1,0,0,10:00,22:00
2026-01-21,Responsibility,G,1,0,0,10:00,22:00
2026-01-22,Team,T1,2,0,0,10:00,11:00
2026-01-22,Team,T1,3,0,0,11:00,13:00
2026-01-22,Team,T1,3,0,0,13:00,14:00
2026-01-22,Team,T1,2,0,0,14:00,17:00
2026-01-22,Team,T1,3,0,0,17:00,20:00
2026-01-22,Team,T1,3,0,0,20:00,21:00
2026-01-22,Team,T1,2,0,0,21:00,22:00
2026-01-22,Responsibility,A,1,0,0,08:30,15:30
2026-01-22,Responsibility,C,1,0,0,10:00,22:00
2026-01-22,Responsibility,G,1,0,0,10:00,22:00
2026-01-23,Team,T1,2,0,0,10:00,11:00
2026-01-23,Team,T1,3,0,0,11:00,13:00
2026-01-23,Team,T1,3,0,0,13:00,14:00
2026-01-23,Team,T1,2,0,0,14:00,15:00
2026-01-23,Team,T1,2,0,0,15:00,17:00
2026-01-23,Team,T1,3,0,0,17:00,18:00
2026-01-23,Team,T1,3,0,0,18:00,20:00
2026-01-23,Team,T1,3,0,0,20:00,21:00
2026-01-23,Team,T1,2,0,0,21:00,22:00
2026-01-23,Responsibility,A,1,0,0,08:30,15:30
2026-01-23,Responsibility,C,1,0,0,10:00,22:00
2026-01-23,Responsibility,G,1,0,0,10:00,22:00
2026-01-24,Team,T1,2,0,0,11:00,12:00
2026-01-24,Team,T1,2,0,0,12:00,13:00
2026-01-24,Team,T1,2,0,0,13:00,14:00
2026-01-24,Team,T1,2,0,0,14:00,15:00
2026-01-24,Team,T1,2,0,0,15:00,16:00
2026-01-24,Team,T1,2,0,0,16:00,17:00
2026-01-24,Team,T1,2,0,0,17:00,18:00
2026-01-24,Team,T1,2,0,0,18:00,20:00
2026-01-24,Team,T1,2,0,0,20:00,21:00
2026-01-24,Responsibility,C,1,0,0,11:00,21:00
2026-01-24,Responsibility,G,1,0,0,11:00,21:00
2026-01-25,Team,T1,2,0,0,10:00,11:00
2026-01-25,Team,T1,3,0,0,11:00,14:00
2026-01-25,Team,T1,2,0,0,14:00,17:00
2026-01-25,Team,T1,3,0,0,17:00,21:00
2026-01-25,Team,T1,2,0,0,21:00,22:00
2026-01-25,Responsibility,C,1,0,0,11:00,21:00
2026-01-25,Responsibility,G,1,0,0,11:00,14:00
2026-01-25,Responsibility,G,1,0,0,19:00,21:00
2026-01-26,Team,T1,2,0,0,10:00,11:00
2026-01-26,Team,T1,3,0,0,11:00,14:00
2026-01-26,Team,T1,2,0,0,14:00,17:00
2026-01-26,Team,T1,3,0,0,17:00,18:00
2026-01-26,Team,T1,3,0,0,18:00,19:30
2026-01-26,Team,T1,3,0,0,19:30,21:00
2026-01-26,Team,T1,2,0,0,21:00,22:00
2026-01-26,Responsibility,A,1,0,0,08:30,15:30
2026-01-26,Responsibility,C,1,0,0,10:00,22:00
2026-01-26,Responsibility,G,1,0,0,10:00,22:00
2026-01-27,Team,T1,2,0,0,10:00,11:00
2026-01-27,Team,T1,3,0,0,11:00,14:00
2026-01-27,Team,T1,2,0,0,14:00,17:00
2026-01-27,Team,T1,3,0,0,17:00,20:00
2026-01-27,Team,T1,3,0,0,20:00,21:00
2026-01-27,Team,T1,2,0,0,21:00,22:00
2026-01-27,Responsibility,A,1,0,0,08:30,15:30
2026-01-27,Responsibility,C,1,0,0,10:00,22:00
2026-01-27,Responsibility,G,1,0,0,10:00,22:00
2026-01-28,Team,T1,2,0,0,10:00,11:00
2026-01-28,Team,T1,3,0,0,11:00,14:00
2026-01-28,Team,T1,2,0,0,14:00,17:00
2026-01-28,Team,T1,3,0,0,17:00,18:30
2026-01-28,Team,T1,3,0,0,18:30,20:00
2026-01-28,Team,T1,3,0,0,20:00,21:00
2026-01-28,Team,T1,2,0,0,21:00,22:00
2026-01-28,Responsibility,A,1,0,0,08:30,15:30
2026-01-28,Responsibility,C,1,0,0,10:00,22:00
2026-01-28,Responsibility,G,1,0,0,10:00,22:00
2026-01-29,Team,T1,2,0,0,10:00,11:00
2026-01-29,Team,T1,3,0,0,11:00,13:00
2026-01-29,Team,T1,3,0,0,13:00,14:00
2026-01-29,Team,T1,2,0,0,14:00,17:00
2026-01-29,Team,T1,3,0,0,17:00,20:00
2026-01-29,Team,T1,3,0,0,20:00,21:00
2026-01-29,Team,T1,2,0,0,21:00,22:00
2026-01-29,Responsibility,A,1,0,0,08:30,15:30
2026-01-29,Responsibility,C,1,0,0,10:00,22:00
2026-01-29,Responsibility,G,1,0,0,10:00,22:00
2026-01-30,Team,T1,2,0,0,10:00,11:00
2026-01-30,Team,T1,3,0,0,11:00,13:00
2026-01-30,Team,T1,3,0,0,13:00,14:00
2026-01-30,Team,T1,2,0,0,14:00,15:00
2026-01-30,Team,T1,2,0,0,15:00,17:00
2026-01-30,Team,T1,3,0,0,17:00,18:00
2026-01-30,Team,T1,3,0,0,18:00,20:00
2026-01-30,Team,T1,3,0,0,20:00,21:00
2026-01-30,Team,T1,2,0,0,21:00,22:00
2026-01-30,Responsibility,A,1,0,0,08:30,15:30
2026-01-30,Responsibility,C,1,0,0,10:00,22:00
2026-01-30,Responsibility,G,1,0,0,10:00,22:00
2026-01-31,Team,T1,2,0,0,11:00,12:00
2026-01-31,Team,T1,2,0,0,12:00,13:00
2026-01-31,Team,T1,2,0,0,13:00,14:00
2026-01-31,Team,T1,2,0,0,14:00,15:00
2026-01-31,Team,T1,2,0,0,15:00,16:00
2026-01-31,Team,T1,2,0,0,16:00,17:00
2026-01-31,Team,T1,2,0,0,17:00,18:00
2026-01-31,Team,T1,2,0,0,18:00,20:00
2026-01-31,Team,T1,2,0,0,20:00,21:00
2026-01-31,Responsibility,C,1,0,0,11:00,21:00
2026-01-31,Responsibility,G,1,0,0,11:00,21:00
