date,workPeriod,team,minimum,ideal,estimated
2025-10-05,MANAGEMENT_1100_1400,Management,1,1,1
2025-10-05,MANAGEMENT_1900_2100,Management,2,2,2
2025-10-06,CHECKOUT_1000_1100,Checkout,1,1,1
2025-10-06,CHECKOUT_1100_2100,Checkout,1,1,1
2025-10-06,CHECKOUT_2100_2200,Checkout,1,1,1
2025-10-06,EMPLOYEES_0900_1000,Employees,1,1,1
2025-10-06,EMPLOYEES_1000_1100,Employees,3,3,3
2025-10-06,EMPLOYEES_1100_1200,Employees,3,3,3
2025-10-06,EMPLOYEES_1200_1300,Employees,3,3,3
2025-10-06,EMPLOYEES_1300_1400,Employees,3,3,3
2025-10-06,EMPLOYEES_1400_1500,Employees,1,1,1
2025-10-06,EMPLOYEES_1500_1600,Employees,1,1,1
2025-10-06,EMPLOYEES_1600_1700,Employees,1,1,1
2025-10-06,EMPLOYEES_1700_1800,Employees,3,3,3
2025-10-06,EMPLOYEES_1800_1900,Employees,3,3,3
2025-10-06,EMPLOYEES_1900_2000,Employees,3,3,3
2025-10-06,EMPLOYEES_2000_2100,Employees,3,3,3
2025-10-06,EMPLOYEES_2100_2200,Employees,3,3,3
2025-10-06,MANAGEMENT_1000_1100,Management,1,1,1
2025-10-06,MANAGEMENT_1100_1400,Management,1,1,1
2025-10-06,MANAGEMENT_1400_1900,Management,1,1,1
2025-10-06,MANAGEMENT_1900_2100,Management,1,1,1
2025-10-06,MANAGEMENT_2100_2200,Management,1,1,1
2025-10-06,STORAGE_0830_1530,Storage,2,2,2
2025-10-07,CHECKOUT_1000_1100,Checkout,1,1,1
2025-10-07,CHECKOUT_1100_2100,Checkout,1,1,1
2025-10-07,CHECKOUT_2100_2200,Checkout,1,1,1
2025-10-07,EMPLOYEES_0900_1000,Employees,1,1,1
2025-10-07,EMPLOYEES_1000_1100,Employees,3,3,3
2025-10-07,EMPLOYEES_1100_1200,Employees,3,3,3
2025-10-07,EMPLOYEES_1200_1300,Employees,3,3,3
2025-10-07,EMPLOYEES_1300_1400,Employees,3,3,3
2025-10-07,EMPLOYEES_1400_1500,Employees,1,1,1
2025-10-07,EMPLOYEES_1500_1600,Employees,1,1,1
2025-10-07,EMPLOYEES_1600_1700,Employees,1,1,1
2025-10-07,EMPLOYEES_1700_1800,Employees,3,3,3
2025-10-07,EMPLOYEES_1800_1900,Employees,3,3,3
2025-10-07,EMPLOYEES_1900_2000,Employees,3,3,3
2025-10-07,EMPLOYEES_2000_2100,Employees,3,3,3
2025-10-07,EMPLOYEES_2100_2200,Employees,3,3,3
2025-10-07,MANAGEMENT_1000_1100,Management,1,1,1
2025-10-07,MANAGEMENT_1100_1400,Management,1,1,1
2025-10-07,MANAGEMENT_1400_1900,Management,1,1,1
2025-10-07,MANAGEMENT_1900_2100,Management,1,1,1
2025-10-07,MANAGEMENT_2100_2200,Management,1,1,1
2025-10-07,STORAGE_0830_1530,Storage,1,1,1
2025-10-08,CHECKOUT_1000_1100,Checkout,1,1,1
2025-10-08,CHECKOUT_1100_2100,Checkout,1,1,1
2025-10-08,CHECKOUT_2100_2200,Checkout,1,1,1
2025-10-08,EMPLOYEES_0900_1000,Employees,1,1,1
2025-10-08,EMPLOYEES_1000_1100,Employees,3,3,3
2025-10-08,EMPLOYEES_1100_1200,Employees,3,3,3
2025-10-08,EMPLOYEES_1200_1300,Employees,3,3,3
2025-10-08,EMPLOYEES_1300_1400,Employees,3,3,3
2025-10-08,EMPLOYEES_1400_1500,Employees,1,1,1
2025-10-08,EMPLOYEES_1500_1600,Employees,1,1,1
2025-10-08,EMPLOYEES_1600_1700,Employees,1,1,1
2025-10-08,EMPLOYEES_1700_1800,Employees,3,3,3
2025-10-08,EMPLOYEES_1800_1900,Employees,3,3,3
2025-10-08,EMPLOYEES_1900_2000,Employees,3,3,3
2025-10-08,EMPLOYEES_2000_2100,Employees,3,3,3
2025-10-08,EMPLOYEES_2100_2200,Employees,3,3,3
2025-10-08,MANAGEMENT_1000_1100,Management,1,1,1
2025-10-08,MANAGEMENT_1100_1400,Management,1,1,1
2025-10-08,MANAGEMENT_1400_1900,Management,1,1,1
2025-10-08,MANAGEMENT_1900_2100,Management,1,1,1
2025-10-08,MANAGEMENT_2100_2200,Management,1,1,1
2025-10-08,STORAGE_0830_1530,Storage,1,1,1
2025-10-09,CHECKOUT_1000_1100,Checkout,1,1,1
2025-10-09,CHECKOUT_1100_2100,Checkout,1,1,1
2025-10-09,CHECKOUT_2100_2200,Checkout,1,1,1
2025-10-09,EMPLOYEES_0900_1000,Employees,1,1,1
2025-10-09,EMPLOYEES_1000_1100,Employees,3,3,3
2025-10-09,EMPLOYEES_1100_1200,Employees,3,3,3
2025-10-09,EMPLOYEES_1200_1300,Employees,3,3,3
2025-10-09,EMPLOYEES_1300_1400,Employees,3,3,3
2025-10-09,EMPLOYEES_1400_1500,Employees,1,1,1
2025-10-09,EMPLOYEES_1500_1600,Employees,1,1,1
2025-10-09,EMPLOYEES_1600_1700,Employees,1,1,1
2025-10-09,EMPLOYEES_1700_1800,Employees,3,3,3
2025-10-09,EMPLOYEES_1800_1900,Employees,3,3,3
2025-10-09,EMPLOYEES_1900_2000,Employees,3,3,3
2025-10-09,EMPLOYEES_2000_2100,Employees,3,3,3
2025-10-09,EMPLOYEES_2100_2200,Employees,3,3,3
2025-10-09,MANAGEMENT_1000_1100,Management,1,1,1
2025-10-09,MANAGEMENT_1100_1400,Management,1,1,1
2025-10-09,MANAGEMENT_1400_1900,Management,1,1,1
2025-10-09,MANAGEMENT_1900_2100,Management,1,1,1
2025-10-09,MANAGEMENT_2100_2200,Management,1,1,1
2025-10-09,STORAGE_0830_1530,Storage,1,1,1
2025-10-10,CHECKOUT_1000_1100,Checkout,1,1,1
2025-10-10,CHECKOUT_1100_2100,Checkout,2,2,2
2025-10-10,CHECKOUT_2100_2200,Checkout,1,1,1
2025-10-10,EMPLOYEES_0900_1000,Employees,1,1,1
2025-10-10,EMPLOYEES_1000_1100,Employees,3,3,3
2025-10-10,EMPLOYEES_1100_1200,Employees,3,3,3
2025-10-10,EMPLOYEES_1200_1300,Employees,3,3,3
2025-10-10,EMPLOYEES_1300_1400,Employees,3,3,3
2025-10-10,EMPLOYEES_1400_1500,Employees,1,1,1
2025-10-10,EMPLOYEES_1500_1600,Employees,1,1,1
2025-10-10,EMPLOYEES_1600_1700,Employees,1,1,1
2025-10-10,EMPLOYEES_1700_1800,Employees,3,3,3
2025-10-10,EMPLOYEES_1800_1900,Employees,3,3,3
2025-10-10,EMPLOYEES_1900_2000,Employees,3,3,3
2025-10-10,EMPLOYEES_2000_2100,Employees,3,3,3
2025-10-10,EMPLOYEES_2100_2200,Employees,3,3,3
2025-10-10,MANAGEMENT_1000_1100,Management,1,1,1
2025-10-10,MANAGEMENT_1100_1400,Management,1,1,1
2025-10-10,MANAGEMENT_1400_1900,Management,1,1,1
2025-10-10,MANAGEMENT_1900_2100,Management,1,1,1
2025-10-10,MANAGEMENT_2100_2200,Management,1,1,1
2025-10-10,STORAGE_0830_1530,Storage,1,1,1
2025-10-11,CHECKOUT_1100_2100,Checkout,2,2,2
2025-10-11,EMPLOYEES_1100_1200,Employees,4,4,4
2025-10-11,EMPLOYEES_1200_1300,Employees,4,4,4
2025-10-11,EMPLOYEES_1300_1400,Employees,4,4,4
2025-10-11,EMPLOYEES_1400_1500,Employees,1,1,1
2025-10-11,EMPLOYEES_1500_1600,Employees,1,1,1
2025-10-11,EMPLOYEES_1600_1700,Employees,1,1,1
2025-10-11,EMPLOYEES_1700_1800,Employees,4,4,4
2025-10-11,EMPLOYEES_1800_1900,Employees,4,4,4
2025-10-11,EMPLOYEES_1900_2000,Employees,4,4,4
2025-10-11,EMPLOYEES_2000_2100,Employees,4,4,4
2025-10-11,MANAGEMENT_1100_1400,Management,1,1,1
2025-10-11,MANAGEMENT_1400_1900,Management,2,2,2
2025-10-11,MANAGEMENT_1900_2100,Management,2,2,2
2025-10-12,CHECKOUT_1100_2100,Checkout,2,2,2
2025-10-12,EMPLOYEES_1100_1200,Employees,4,4,4
2025-10-12,EMPLOYEES_1200_1300,Employees,4,4,4
2025-10-12,EMPLOYEES_1300_1400,Employees,4,4,4
2025-10-12,EMPLOYEES_1400_1500,Employees,1,1,1
2025-10-12,EMPLOYEES_1500_1600,Employees,1,1,1
2025-10-12,EMPLOYEES_1600_1700,Employees,1,1,1
2025-10-12,EMPLOYEES_1700_1800,Employees,4,4,4
2025-10-12,EMPLOYEES_1800_1900,Employees,4,4,4
2025-10-12,EMPLOYEES_1900_2000,Employees,4,4,4
2025-10-12,EMPLOYEES_2000_2100,Employees,4,4,4
2025-10-12,MANAGEMENT_1100_1400,Management,1,1,1
2025-10-12,MANAGEMENT_1900_2100,Management,2,2,2
2025-10-13,CHECKOUT_1000_1100,Checkout,1,1,1
2025-10-13,CHECKOUT_1100_2100,Checkout,1,1,1
2025-10-13,CHECKOUT_2100_2200,Checkout,1,1,1
2025-10-13,EMPLOYEES_0900_1000,Employees,1,1,1
2025-10-13,EMPLOYEES_1000_1100,Employees,3,3,3
2025-10-13,EMPLOYEES_1100_1200,Employees,3,3,3
2025-10-13,EMPLOYEES_1200_1300,Employees,3,3,3
2025-10-13,EMPLOYEES_1300_1400,Employees,3,3,3
2025-10-13,EMPLOYEES_1400_1500,Employees,1,1,1
2025-10-13,EMPLOYEES_1500_1600,Employees,1,1,1
2025-10-13,EMPLOYEES_1600_1700,Employees,1,1,1
2025-10-13,EMPLOYEES_1700_1800,Employees,3,3,3
2025-10-13,EMPLOYEES_1800_1900,Employees,3,3,3
2025-10-13,EMPLOYEES_1900_2000,Employees,3,3,3
2025-10-13,EMPLOYEES_2000_2100,Employees,3,3,3
2025-10-13,EMPLOYEES_2100_2200,Employees,3,3,3
2025-10-13,MANAGEMENT_1000_1100,Management,1,1,1
2025-10-13,MANAGEMENT_1100_1400,Management,1,1,1
2025-10-13,MANAGEMENT_1400_1900,Management,1,1,1
2025-10-13,MANAGEMENT_1900_2100,Management,1,1,1
2025-10-13,MANAGEMENT_2100_2200,Management,1,1,1
2025-10-13,STORAGE_0830_1530,Storage,2,2,2
2025-10-14,CHECKOUT_1000_1100,Checkout,1,1,1
2025-10-14,CHECKOUT_1100_2100,Checkout,1,1,1
2025-10-14,CHECKOUT_2100_2200,Checkout,1,1,1
2025-10-14,EMPLOYEES_0900_1000,Employees,1,1,1
2025-10-14,EMPLOYEES_1000_1100,Employees,3,3,3
2025-10-14,EMPLOYEES_1100_1200,Employees,3,3,3
2025-10-14,EMPLOYEES_1200_1300,Employees,3,3,3
2025-10-14,EMPLOYEES_1300_1400,Employees,3,3,3
2025-10-14,EMPLOYEES_1400_1500,Employees,1,1,1
2025-10-14,EMPLOYEES_1500_1600,Employees,1,1,1
2025-10-14,EMPLOYEES_1600_1700,Employees,1,1,1
2025-10-14,EMPLOYEES_1700_1800,Employees,3,3,3
2025-10-14,EMPLOYEES_1800_1900,Employees,3,3,3
2025-10-14,EMPLOYEES_1900_2000,Employees,3,3,3
2025-10-14,EMPLOYEES_2000_2100,Employees,3,3,3
2025-10-14,EMPLOYEES_2100_2200,Employees,3,3,3
2025-10-14,MANAGEMENT_1000_1100,Management,1,1,1
2025-10-14,MANAGEMENT_1100_1400,Management,1,1,1
2025-10-14,MANAGEMENT_1400_1900,Management,1,1,1
2025-10-14,MANAGEMENT_1900_2100,Management,1,1,1
2025-10-14,MANAGEMENT_2100_2200,Management,1,1,1
2025-10-14,STORAGE_0830_1530,Storage,1,1,1
2025-10-15,CHECKOUT_1000_1100,Checkout,1,1,1
2025-10-15,CHECKOUT_1100_2100,Checkout,1,1,1
2025-10-15,CHECKOUT_2100_2200,Checkout,1,1,1
2025-10-15,EMPLOYEES_0900_1000,Employees,1,1,1
2025-10-15,EMPLOYEES_1000_1100,Employees,3,3,3
2025-10-15,EMPLOYEES_1100_1200,Employees,3,3,3
2025-10-15,EMPLOYEES_1200_1300,Employees,3,3,3
2025-10-15,EMPLOYEES_1300_1400,Employees,3,3,3
2025-10-15,EMPLOYEES_1400_1500,Employees,1,1,1
2025-10-15,EMPLOYEES_1500_1600,Employees,1,1,1
2025-10-15,EMPLOYEES_1600_1700,Employees,1,1,1
2025-10-15,EMPLOYEES_1700_1800,Employees,3,3,3
2025-10-15,EMPLOYEES_1800_1900,Employees,3,3,3
2025-10-15,EMPLOYEES_1900_2000,Employees,3,3,3
2025-10-15,EMPLOYEES_2000_2100,Employees,3,3,3
2025-10-15,EMPLOYEES_2100_2200,Employees,3,3,3
2025-10-15,MANAGEMENT_1000_1100,Management,1,1,1
2025-10-15,MANAGEMENT_1100_1400,Management,1,1,1
2025-10-15,MANAGEMENT_1400_1900,Management,1,1,1
2025-10-15,MANAGEMENT_1900_2100,Management,1,1,1
2025-10-15,MANAGEMENT_2100_2200,Management,1,1,1
2025-10-15,STORAGE_0830_1530,Storage,1,1,1
2025-10-16,CHECKOUT_1000_1100,Checkout,1,1,1
2025-10-16,CHECKOUT_1100_2100,Checkout,1,1,1
2025-10-16,CHECKOUT_2100_2200,Checkout,1,1,1
2025-10-16,EMPLOYEES_0900_1000,Employees,1,1,1
2025-10-16,EMPLOYEES_1000_1100,Employees,3,3,3
2025-10-16,EMPLOYEES_1100_1200,Employees,3,3,3
2025-10-16,EMPLOYEES_1200_1300,Employees,3,3,3
2025-10-16,EMPLOYEES_1300_1400,Employees,3,3,3
2025-10-16,EMPLOYEES_1400_1500,Employees,1,1,1
2025-10-16,EMPLOYEES_1500_1600,Employees,1,1,1
2025-10-16,EMPLOYEES_1600_1700,Employees,1,1,1
2025-10-16,EMPLOYEES_1700_1800,Employees,3,3,3
2025-10-16,EMPLOYEES_1800_1900,Employees,3,3,3
2025-10-16,EMPLOYEES_1900_2000,Employees,3,3,3
2025-10-16,EMPLOYEES_2000_2100,Employees,3,3,3
2025-10-16,EMPLOYEES_2100_2200,Employees,3,3,3
2025-10-16,MANAGEMENT_1000_1100,Management,1,1,1
2025-10-16,MANAGEMENT_1100_1400,Management,1,1,1
2025-10-16,MANAGEMENT_1400_1900,Management,1,1,1
2025-10-16,MANAGEMENT_1900_2100,Management,1,1,1
2025-10-16,MANAGEMENT_2100_2200,Management,1,1,1
2025-10-16,STORAGE_0830_1530,Storage,1,1,1
2025-10-17,CHECKOUT_1000_1100,Checkout,1,1,1
2025-10-17,CHECKOUT_1100_2100,Checkout,2,2,2
2025-10-17,CHECKOUT_2100_2200,Checkout,1,1,1
2025-10-17,EMPLOYEES_0900_1000,Employees,1,1,1
2025-10-17,EMPLOYEES_1000_1100,Employees,3,3,3
2025-10-17,EMPLOYEES_1100_1200,Employees,3,3,3
2025-10-17,EMPLOYEES_1200_1300,Employees,3,3,3
2025-10-17,EMPLOYEES_1300_1400,Employees,3,3,3
2025-10-17,EMPLOYEES_1400_1500,Employees,1,1,1
2025-10-17,EMPLOYEES_1500_1600,Employees,1,1,1
2025-10-17,EMPLOYEES_1600_1700,Employees,1,1,1
2025-10-17,EMPLOYEES_1700_1800,Employees,3,3,3
2025-10-17,EMPLOYEES_1800_1900,Employees,3,3,3
2025-10-17,EMPLOYEES_1900_2000,Employees,3,3,3
2025-10-17,EMPLOYEES_2000_2100,Employees,3,3,3
2025-10-17,EMPLOYEES_2100_2200,Employees,3,3,3
2025-10-17,MANAGEMENT_1000_1100,Management,1,1,1
2025-10-17,MANAGEMENT_1100_1400,Management,1,1,1
2025-10-17,MANAGEMENT_1400_1900,Management,1,1,1
2025-10-17,MANAGEMENT_1900_2100,Management,1,1,1
2025-10-17,MANAGEMENT_2100_2200,Management,1,1,1
2025-10-17,STORAGE_0830_1530,Storage,1,1,1
2025-10-18,CHECKOUT_1100_2100,Checkout,2,2,2
2025-10-18,EMPLOYEES_1100_1200,Employees,4,4,4
2025-10-18,EMPLOYEES_1200_1300,Employees,4,4,4
2025-10-18,EMPLOYEES_1300_1400,Employees,4,4,4
2025-10-18,EMPLOYEES_1400_1500,Employees,1,1,1
2025-10-18,EMPLOYEES_1500_1600,Employees,1,1,1
2025-10-18,EMPLOYEES_1600_1700,Employees,1,1,1
2025-10-18,EMPLOYEES_1700_1800,Employees,4,4,4
2025-10-18,EMPLOYEES_1800_1900,Employees,4,4,4
2025-10-18,EMPLOYEES_1900_2000,Employees,4,4,4
2025-10-18,EMPLOYEES_2000_2100,Employees,4,4,4
2025-10-18,MANAGEMENT_1100_1400,Management,1,1,1
2025-10-18,MANAGEMENT_1400_1900,Management,2,2,2
2025-10-18,MANAGEMENT_1900_2100,Management,2,2,2
2025-10-19,CHECKOUT_1100_2100,Checkout,2,2,2
2025-10-19,EMPLOYEES_1100_1200,Employees,4,4,4
2025-10-19,EMPLOYEES_1200_1300,Employees,4,4,4
2025-10-19,EMPLOYEES_1300_1400,Employees,4,4,4
2025-10-19,EMPLOYEES_1400_1500,Employees,1,1,1
2025-10-19,EMPLOYEES_1500_1600,Employees,1,1,1
2025-10-19,EMPLOYEES_1600_1700,Employees,1,1,1
2025-10-19,EMPLOYEES_1700_1800,Employees,4,4,4
2025-10-19,EMPLOYEES_1800_1900,Employees,4,4,4
2025-10-19,EMPLOYEES_1900_2000,Employees,4,4,4
2025-10-19,EMPLOYEES_2000_2100,Employees,4,4,4
2025-10-19,MANAGEMENT_1100_1400,Management,1,1,1
2025-10-19,MANAGEMENT_1900_2100,Management,2,2,2
2025-10-20,CHECKOUT_1000_1100,Checkout,1,1,1
2025-10-20,CHECKOUT_1100_2100,Checkout,1,1,1
2025-10-20,CHECKOUT_2100_2200,Checkout,1,1,1
2025-10-20,EMPLOYEES_0900_1000,Employees,1,1,1
2025-10-20,EMPLOYEES_1000_1100,Employees,3,3,3
2025-10-20,EMPLOYEES_1100_1200,Employees,3,3,3
2025-10-20,EMPLOYEES_1200_1300,Employees,3,3,3
2025-10-20,EMPLOYEES_1300_1400,Employees,3,3,3
2025-10-20,EMPLOYEES_1400_1500,Employees,1,1,1
2025-10-20,EMPLOYEES_1500_1600,Employees,1,1,1
2025-10-20,EMPLOYEES_1600_1700,Employees,1,1,1
2025-10-20,EMPLOYEES_1700_1800,Employees,3,3,3
2025-10-20,EMPLOYEES_1800_1900,Employees,3,3,3
2025-10-20,EMPLOYEES_1900_2000,Employees,3,3,3
2025-10-20,EMPLOYEES_2000_2100,Employees,3,3,3
2025-10-20,EMPLOYEES_2100_2200,Employees,3,3,3
2025-10-20,MANAGEMENT_1000_1100,Management,1,1,1
2025-10-20,MANAGEMENT_1100_1400,Management,1,1,1
2025-10-20,MANAGEMENT_1400_1900,Management,1,1,1
2025-10-20,MANAGEMENT_1900_2100,Management,1,1,1
2025-10-20,MANAGEMENT_2100_2200,Management,1,1,1
2025-10-20,STORAGE_0830_1530,Storage,2,2,2
2025-10-21,CHECKOUT_1000_1100,Checkout,1,1,1
2025-10-21,CHECKOUT_1100_2100,Checkout,1,1,1
2025-10-21,CHECKOUT_2100_2200,Checkout,1,1,1
2025-10-21,EMPLOYEES_0900_1000,Employees,1,1,1
2025-10-21,EMPLOYEES_1000_1100,Employees,3,3,3
2025-10-21,EMPLOYEES_1100_1200,Employees,3,3,3
2025-10-21,EMPLOYEES_1200_1300,Employees,3,3,3
2025-10-21,EMPLOYEES_1300_1400,Employees,3,3,3
2025-10-21,EMPLOYEES_1400_1500,Employees,1,1,1
2025-10-21,EMPLOYEES_1500_1600,Employees,1,1,1
2025-10-21,EMPLOYEES_1600_1700,Employees,1,1,1
2025-10-21,EMPLOYEES_1700_1800,Employees,3,3,3
2025-10-21,EMPLOYEES_1800_1900,Employees,3,3,3
2025-10-21,EMPLOYEES_1900_2000,Employees,3,3,3
2025-10-21,EMPLOYEES_2000_2100,Employees,3,3,3
2025-10-21,EMPLOYEES_2100_2200,Employees,3,3,3
2025-10-21,MANAGEMENT_1000_1100,Management,1,1,1
2025-10-21,MANAGEMENT_1100_1400,Management,1,1,1
2025-10-21,MANAGEMENT_1400_1900,Management,1,1,1
2025-10-21,MANAGEMENT_1900_2100,Management,1,1,1
2025-10-21,MANAGEMENT_2100_2200,Management,1,1,1
2025-10-21,STORAGE_0830_1530,Storage,1,1,1
2025-10-22,CHECKOUT_1000_1100,Checkout,1,1,1
2025-10-22,CHECKOUT_1100_2100,Checkout,1,1,1
2025-10-22,CHECKOUT_2100_2200,Checkout,1,1,1
2025-10-22,EMPLOYEES_0900_1000,Employees,1,1,1
2025-10-22,EMPLOYEES_1000_1100,Employees,3,3,3
2025-10-22,EMPLOYEES_1100_1200,Employees,3,3,3
2025-10-22,EMPLOYEES_1200_1300,Employees,3,3,3
2025-10-22,EMPLOYEES_1300_1400,Employees,3,3,3
2025-10-22,EMPLOYEES_1400_1500,Employees,1,1,1
2025-10-22,EMPLOYEES_1500_1600,Employees,1,1,1
2025-10-22,EMPLOYEES_1600_1700,Employees,1,1,1
2025-10-22,EMPLOYEES_1700_1800,Employees,3,3,3
2025-10-22,EMPLOYEES_1800_1900,Employees,3,3,3
2025-10-22,EMPLOYEES_1900_2000,Employees,3,3,3
2025-10-22,EMPLOYEES_2000_2100,Employees,3,3,3
2025-10-22,EMPLOYEES_2100_2200,Employees,3,3,3
2025-10-22,MANAGEMENT_1000_1100,Management,1,1,1
2025-10-22,MANAGEMENT_1100_1400,Management,1,1,1
2025-10-22,MANAGEMENT_1400_1900,Management,1,1,1
2025-10-22,MANAGEMENT_1900_2100,Management,1,1,1
2025-10-22,MANAGEMENT_2100_2200,Management,1,1,1
2025-10-22,STORAGE_0830_1530,Storage,1,1,1
2025-10-23,CHECKOUT_1000_1100,Checkout,1,1,1
2025-10-23,CHECKOUT_1100_2100,Checkout,1,1,1
2025-10-23,CHECKOUT_2100_2200,Checkout,1,1,1
2025-10-23,EMPLOYEES_0900_1000,Employees,1,1,1
2025-10-23,EMPLOYEES_1000_1100,Employees,3,3,3
2025-10-23,EMPLOYEES_1100_1200,Employees,3,3,3
2025-10-23,EMPLOYEES_1200_1300,Employees,3,3,3
